"Gene","Var1"
"EMP1","Astrocyte_Cahoy_all"
"ARL6IP2","Astrocyte_Cahoy_all"
"HSPB6","Astrocyte_Cahoy_all"
"KIAA1545","Astrocyte_Cahoy_all"
"SALL3","Astrocyte_Cahoy_all"
"PDLIM5","Astrocyte_Cahoy_all"
"ZFP36L1","Astrocyte_Cahoy_all"
"ADRA2A","Astrocyte_Cahoy_all"
"RAB13","Astrocyte_Cahoy_all"
"PTCHD2","Astrocyte_Cahoy_all"
"HRSP12","Astrocyte_Cahoy_all"
"LOC635753","Astrocyte_Cahoy_all"
"FADS1","Astrocyte_Cahoy_all"
"C130071C03RIK","Astrocyte_Cahoy_all"
"TGIF2","Astrocyte_Cahoy_all"
"HSPA8","Astrocyte_Cahoy_all"
"PMP22","Astrocyte_Cahoy_all"
"SLC12A4","Astrocyte_Cahoy_all"
"IVD","Astrocyte_Cahoy_all"
"ZEB1","Astrocyte_Cahoy_all"
"TTC23","Astrocyte_Cahoy_all"
"FGF1","Astrocyte_Cahoy_all"
"PTCH","Astrocyte_Cahoy_all"
"AI843755","Astrocyte_Cahoy_all"
"SNCAIP","Astrocyte_Cahoy_all"
"PHKB","Astrocyte_Cahoy_all"
"AFF1","Astrocyte_Cahoy_all"
"SLC2A12","Astrocyte_Cahoy_all"
"MPP6","Astrocyte_Cahoy_all"
"SEC14L2","Astrocyte_Cahoy_all"
"PRELP","Astrocyte_Cahoy_all"
"PGM1","Astrocyte_Cahoy_all"
"CUEDC1","Astrocyte_Cahoy_all"
"ADAMTS9","Astrocyte_Cahoy_all"
"TTC12","Astrocyte_Cahoy_all"
"RAMP1","Astrocyte_Cahoy_all"
"2010002N04RIK","Astrocyte_Cahoy_all"
"FZD9","Astrocyte_Cahoy_all"
"BTG2","Astrocyte_Cahoy_all"
"LRRC33","Astrocyte_Cahoy_all"
"GBP3","Astrocyte_Cahoy_all"
"RGL3","Astrocyte_Cahoy_all"
"TMEM100","Astrocyte_Cahoy_all"
"LIN52","Astrocyte_Cahoy_all"
"SERPINA3","Astrocyte_Cahoy_all"
